"Step","longattn-fo-grad - loss","longattn-fo-grad - loss__MIN","longattn-fo-grad - loss__MAX","longattn-aux-v2 - loss","longattn-aux-v2 - loss__MIN","longattn-aux-v2 - loss__MAX","longattn-seperated - loss","longattn-seperated - loss__MIN","longattn-seperated - loss__MAX","longattn-no-muon - loss","longattn-no-muon - loss__MIN","longattn-no-muon - loss__MAX"
"59","1.5840383525937796","1.5840383525937796","1.5840383525937796","1.5751795284450054","1.5751795284450054","1.5751795284450054","1.5631348751485348","1.5631348751485348","1.5631348751485348","1.5866464041173458","1.5866464041173458","1.5866464041173458"
"60","1.7397387940436602","1.7397387940436602","1.7397387940436602","1.7314386684447527","1.7314386684447527","1.7314386684447527","1.7176315113902092","1.7176315113902092","1.7176315113902092","1.7406606115400791","1.7406606115400791","1.7406606115400791"
"61","1.940727299079299","1.940727299079299","1.940727299079299","1.9324828162789345","1.9324828162789345","1.9324828162789345","1.9193133749067783","1.9193133749067783","1.9193133749067783","1.9433530736714602","1.9433530736714602","1.9433530736714602"
"62","2.0040061082690954","2.0040061082690954","2.0040061082690954","1.9873505290597677","1.9873505290597677","1.9873505290597677","1.9724739585071802","1.9724739585071802","1.9724739585071802","1.994611693546176","1.994611693546176","1.994611693546176"
"63","1.7312699351459742","1.7312699351459742","1.7312699351459742","1.718410361558199","1.718410361558199","1.718410361558199","1.7056353390216827","1.7056353390216827","1.7056353390216827","1.727790018543601","1.727790018543601","1.727790018543601"
"64","1.8832057900726795","1.8832057900726795","1.8832057900726795","1.8859632350504398","1.8859632350504398","1.8859632350504398","1.8698412366211414","1.8698412366211414","1.8698412366211414","1.8891669865697622","1.8891669865697622","1.8891669865697622"
"65","1.784136813133955","1.784136813133955","1.784136813133955","1.7800325248390436","1.7800325248390436","1.7800325248390436","1.7678977642208338","1.7678977642208338","1.7678977642208338","1.787703139707446","1.787703139707446","1.787703139707446"
"66","1.701200906187296","1.701200906187296","1.701200906187296","1.6927301846444607","1.6927301846444607","1.6927301846444607","1.6815994922071695","1.6815994922071695","1.6815994922071695","1.7011440973728895","1.7011440973728895","1.7011440973728895"
"67","1.7285467814654112","1.7285467814654112","1.7285467814654112","1.73058620095253","1.73058620095253","1.73058620095253","1.716165291145444","1.716165291145444","1.716165291145444","1.7338923811912537","1.7338923811912537","1.7338923811912537"
"68","1.409568538889289","1.409568538889289","1.409568538889289","1.4065556339919567","1.4065556339919567","1.4065556339919567","1.395746735855937","1.395746735855937","1.395746735855937","1.417436484247446","1.417436484247446","1.417436484247446"
"69","1.658840959891677","1.658840959891677","1.658840959891677","1.6535082273185253","1.6535082273185253","1.6535082273185253","1.6423863153904676","1.6423863153904676","1.6423863153904676","1.6663206163793802","1.6663206163793802","1.6663206163793802"
"70","1.8323266692459583","1.8323266692459583","1.8323266692459583","1.8251813370734453","1.8251813370734453","1.8251813370734453","1.8126254715025425","1.8126254715025425","1.8126254715025425","1.8368233777582645","1.8368233777582645","1.8368233777582645"
"71","1.6399126127362251","1.6399126127362251","1.6399126127362251","1.6360716726630926","1.6360716726630926","1.6360716726630926","1.6224053855985403","1.6224053855985403","1.6224053855985403","1.6447481848299503","1.6447481848299503","1.6447481848299503"
"72","1.4349063374102116","1.4349063374102116","1.4349063374102116","1.4341999124735594","1.4341999124735594","1.4341999124735594","1.4184369035065174","1.4184369035065174","1.4184369035065174","1.4358184859156609","1.4358184859156609","1.4358184859156609"
"73","1.5095060374587774","1.5095060374587774","1.5095060374587774","1.5019982475787401","1.5019982475787401","1.5019982475787401","1.489868551492691","1.489868551492691","1.489868551492691","1.509333647787571","1.509333647787571","1.509333647787571"
"74","1.4503372181206942","1.4503372181206942","1.4503372181206942","1.444737397134304","1.444737397134304","1.444737397134304","1.433310428634286","1.433310428634286","1.433310428634286","1.4525601528584957","1.4525601528584957","1.4525601528584957"
"75","1.5105612091720104","1.5105612091720104","1.5105612091720104","1.5055091809481382","1.5055091809481382","1.5055091809481382","1.4938010834157467","1.4938010834157467","1.4938010834157467","1.5118108335882425","1.5118108335882425","1.5118108335882425"
"76","1.5597199890762568","1.5597199890762568","1.5597199890762568","1.555281400680542","1.555281400680542","1.555281400680542","1.545292453840375","1.545292453840375","1.545292453840375","1.5647124759852886","1.5647124759852886","1.5647124759852886"
"77","1.7407772801816463","1.7407772801816463","1.7407772801816463","1.7413195446133614","1.7413195446133614","1.7413195446133614","1.7292346376925707","1.7292346376925707","1.7292346376925707","1.7489393148571253","1.7489393148571253","1.7489393148571253"
"78","1.6631145533174276","1.6631145533174276","1.6631145533174276","1.6552391946315765","1.6552391946315765","1.6552391946315765","1.643456945195794","1.643456945195794","1.643456945195794","1.6629946045577526","1.6629946045577526","1.6629946045577526"
"79","1.6407242733985186","1.6407242733985186","1.6407242733985186","1.635139336809516","1.635139336809516","1.635139336809516","1.6224923264235258","1.6224923264235258","1.6224923264235258","1.6451033018529415","1.6451033018529415","1.6451033018529415"
"80","1.8253548983484507","1.8253548983484507","1.8253548983484507","1.8250901233404875","1.8250901233404875","1.8250901233404875","1.8125381916761398","1.8125381916761398","1.8125381916761398","1.8348314631730318","1.8348314631730318","1.8348314631730318"
"81","1.6458884552121162","1.6458884552121162","1.6458884552121162","1.6421559490263462","1.6421559490263462","1.6421559490263462","1.6287801712751389","1.6287801712751389","1.6287801712751389","1.648751650005579","1.648751650005579","1.648751650005579"
"82","1.5959926284849644","1.5959926284849644","1.5959926284849644","1.5946123618632555","1.5946123618632555","1.5946123618632555","1.582601509988308","1.582601509988308","1.582601509988308","1.6029613222926855","1.6029613222926855","1.6029613222926855"
"83","1.8023394756019115","1.8023394756019115","1.8023394756019115","1.8003042303025723","1.8003042303025723","1.8003042303025723","1.7834260035306215","1.7834260035306215","1.7834260035306215","1.8072534836828709","1.8072534836828709","1.8072534836828709"
"84","1.5756896547973156","1.5756896547973156","1.5756896547973156","1.5709078554064035","1.5709078554064035","1.5709078554064035","1.5585755109786987","1.5585755109786987","1.5585755109786987","1.5776092167943716","1.5776092167943716","1.5776092167943716"
"85","1.694775065407157","1.694775065407157","1.694775065407157","1.6769786980003119","1.6769786980003119","1.6769786980003119","1.667276043444872","1.667276043444872","1.667276043444872","1.6904626544564962","1.6904626544564962","1.6904626544564962"
"86","1.615464372560382","1.615464372560382","1.615464372560382","1.6089481096714735","1.6089481096714735","1.6089481096714735","1.5987162329256535","1.5987162329256535","1.5987162329256535","1.6210612785071135","1.6210612785071135","1.6210612785071135"
"87","1.6810362804681063","1.6810362804681063","1.6810362804681063","1.6744610592722893","1.6744610592722893","1.6744610592722893","1.6663350351154804","1.6663350351154804","1.6663350351154804","1.6883131712675095","1.6883131712675095","1.6883131712675095"
"88","1.6156654693186283","1.6156654693186283","1.6156654693186283","1.6108165178447962","1.6108165178447962","1.6108165178447962","1.5978586208075285","1.5978586208075285","1.5978586208075285","1.6181565802544355","1.6181565802544355","1.6181565802544355"
"89","1.6504252459853888","1.6504252459853888","1.6504252459853888","1.6372301988303661","1.6372301988303661","1.6372301988303661","1.6253457330167294","1.6253457330167294","1.6253457330167294","1.648198414593935","1.648198414593935","1.648198414593935"
"90","1.9484266508370638","1.9484266508370638","1.9484266508370638","1.942531280219555","1.942531280219555","1.942531280219555","1.9296745080500841","1.9296745080500841","1.9296745080500841","1.9512758869677782","1.9512758869677782","1.9512758869677782"
"91","1.7599591240286827","1.7599591240286827","1.7599591240286827","1.761990001425147","1.761990001425147","1.761990001425147","1.74618711322546","1.74618711322546","1.74618711322546","1.7661284916102886","1.7661284916102886","1.7661284916102886"
"92","1.6613925751298666","1.6613925751298666","1.6613925751298666","1.660765204578638","1.660765204578638","1.660765204578638","1.6462184358388186","1.6462184358388186","1.6462184358388186","1.66647894307971","1.66647894307971","1.66647894307971"
"93","1.5018486510962248","1.5018486510962248","1.5018486510962248","1.5071540717035532","1.5071540717035532","1.5071540717035532","1.492282509803772","1.492282509803772","1.492282509803772","1.5110030267387629","1.5110030267387629","1.5110030267387629"
"94","1.8535123243927956","1.8535123243927956","1.8535123243927956","1.8568019215017557","1.8568019215017557","1.8568019215017557","1.843028787523508","1.843028787523508","1.843028787523508","1.8616414666175842","1.8616414666175842","1.8616414666175842"
"95","1.7303190808743238","1.7303190808743238","1.7303190808743238","1.727457819506526","1.727457819506526","1.727457819506526","1.7137986328452826","1.7137986328452826","1.7137986328452826","1.7338107097893953","1.7338107097893953","1.7338107097893953"
"96","1.676515867933631","1.676515867933631","1.676515867933631","1.6812047492712736","1.6812047492712736","1.6812047492712736","1.666437642648816","1.666437642648816","1.666437642648816","1.6838334891945124","1.6838334891945124","1.6838334891945124"
"97","1.6487114503979683","1.6487114503979683","1.6487114503979683","1.6536153592169285","1.6536153592169285","1.6536153592169285","1.6400107685476542","1.6400107685476542","1.6400107685476542","1.6568108573555946","1.6568108573555946","1.6568108573555946"
"98","1.6055192276835442","1.6055192276835442","1.6055192276835442","1.5932088140398264","1.5932088140398264","1.5932088140398264","1.581640150398016","1.581640150398016","1.581640150398016","1.605118092149496","1.605118092149496","1.605118092149496"
"99","1.5529932528734207","1.5529932528734207","1.5529932528734207","1.5560831762850285","1.5560831762850285","1.5560831762850285","1.5406291633844376","1.5406291633844376","1.5406291633844376","1.5551455151289701","1.5551455151289701","1.5551455151289701"
"100","1.624439314007759","1.624439314007759","1.624439314007759","1.6166260689496994","1.6166260689496994","1.6166260689496994","1.602153429761529","1.602153429761529","1.602153429761529","1.6231867261230946","1.6231867261230946","1.6231867261230946"
"101","1.4872113764286041","1.4872113764286041","1.4872113764286041","1.4823361951857805","1.4823361951857805","1.4823361951857805","1.4658899046480656","1.4658899046480656","1.4658899046480656","1.4881216790527105","1.4881216790527105","1.4881216790527105"
"102","1.862670486792922","1.862670486792922","1.862670486792922","1.869736198335886","1.869736198335886","1.869736198335886","1.8523075506091118","1.8523075506091118","1.8523075506091118","1.869917631149292","1.869917631149292","1.869917631149292"
"103","1.6011348273605108","1.6011348273605108","1.6011348273605108","1.6079860664904118","1.6079860664904118","1.6079860664904118","1.5935120414942503","1.5935120414942503","1.5935120414942503","1.6089205127209425","1.6089205127209425","1.6089205127209425"
"104","1.6474098041653633","1.6474098041653633","1.6474098041653633","1.6449045427143574","1.6449045427143574","1.6449045427143574","1.6331141628324986","1.6331141628324986","1.6331141628324986","1.65160415135324","1.65160415135324","1.65160415135324"
"105","1.6016015075147152","1.6016015075147152","1.6016015075147152","1.6065882332623005","1.6065882332623005","1.6065882332623005","1.5927176158875227","1.5927176158875227","1.5927176158875227","1.6116949506103992","1.6116949506103992","1.6116949506103992"
"106","1.5780226606875658","1.5780226606875658","1.5780226606875658","1.5688843727111816","1.5688843727111816","1.5688843727111816","1.5581829193979502","1.5581829193979502","1.5581829193979502","1.5813678540289402","1.5813678540289402","1.5813678540289402"
"107","1.6778847984969616","1.6778847984969616","1.6778847984969616","1.6677802875638008","1.6677802875638008","1.6677802875638008","1.6545187160372734","1.6545187160372734","1.6545187160372734","1.6761453077197075","1.6761453077197075","1.6761453077197075"
"108","1.7414306532591581","1.7414306532591581","1.7414306532591581","1.742456728592515","1.742456728592515","1.742456728592515","1.7289123367518187","1.7289123367518187","1.7289123367518187","1.748184334486723","1.748184334486723","1.748184334486723"
"109","1.667944883927703","1.667944883927703","1.667944883927703","1.6697833761572838","1.6697833761572838","1.6697833761572838","1.6534103583544493","1.6534103583544493","1.6534103583544493","1.6729382015764713","1.6729382015764713","1.6729382015764713"
"110","1.4260103832930326","1.4260103832930326","1.4260103832930326","1.4316762946546078","1.4316762946546078","1.4316762946546078","1.4128897450864315","1.4128897450864315","1.4128897450864315","1.4292972292751074","1.4292972292751074","1.4292972292751074"
"111","1.538178164511919","1.538178164511919","1.538178164511919","1.5316880941390991","1.5316880941390991","1.5316880941390991","1.517796928063035","1.517796928063035","1.517796928063035","1.5410783141851425","1.5410783141851425","1.5410783141851425"
"112","1.497480722144246","1.497480722144246","1.497480722144246","1.4970293417572975","1.4970293417572975","1.4970293417572975","1.4830258507281542","1.4830258507281542","1.4830258507281542","1.5022796802222729","1.5022796802222729","1.5022796802222729"
"113","1.7694802768528461","1.7694802768528461","1.7694802768528461","1.7715096920728683","1.7715096920728683","1.7715096920728683","1.7561737466603518","1.7561737466603518","1.7561737466603518","1.7766144461929798","1.7766144461929798","1.7766144461929798"
"114","1.9370718244463205","1.9370718244463205","1.9370718244463205","1.9324099142104387","1.9324099142104387","1.9324099142104387","1.9214212074875832","1.9214212074875832","1.9214212074875832","1.9444551300257444","1.9444551300257444","1.9444551300257444"
"115","1.5241414308547974","1.5241414308547974","1.5241414308547974","1.5202589593827724","1.5202589593827724","1.5202589593827724","1.5084829535335302","1.5084829535335302","1.5084829535335302","1.5301286838948727","1.5301286838948727","1.5301286838948727"
"116","1.583170548081398","1.583170548081398","1.583170548081398","1.58408691175282","1.58408691175282","1.58408691175282","1.5699516534805298","1.5699516534805298","1.5699516534805298","1.587447689846158","1.587447689846158","1.587447689846158"
"117","1.6916143130511045","1.6916143130511045","1.6916143130511045","1.6818325035274029","1.6818325035274029","1.6818325035274029","1.6689918711781502","1.6689918711781502","1.6689918711781502","1.6918915621936321","1.6918915621936321","1.6918915621936321"
"118","1.4388267509639263","1.4388267509639263","1.4388267509639263","1.4338663406670094","1.4338663406670094","1.4338663406670094","1.4176819026470184","1.4176819026470184","1.4176819026470184","1.4397479761391878","1.4397479761391878","1.4397479761391878"
"119","1.5549973007291555","1.5549973007291555","1.5549973007291555","1.554651079699397","1.554651079699397","1.554651079699397","1.5410521160811186","1.5410521160811186","1.5410521160811186","1.5614110305905342","1.5614110305905342","1.5614110305905342"
"120","1.42432077601552","1.42432077601552","1.42432077601552","1.4320292491465807","1.4320292491465807","1.4320292491465807","1.4147083535790443","1.4147083535790443","1.4147083535790443","1.4304210059344769","1.4304210059344769","1.4304210059344769"
